Datetime;Open;High;Low;Close;Adj Close;Volume;rsi;macd;macd_signal
2023-10-04 00:00;27429.07421875;27430.01953125;27418.486328125;27418;27418.486328125;0;;;
2023-10-04 00:05;27410.228515625;27410.228515625;27390.95703125;27390;27390.95703125;0;;;
2023-10-04 00:10;27394.935546875;27402.201171875;27391.626953125;27397;27397.466796875;6277120;;;
2023-10-04 00:15;27371.072265625;27380.923828125;27371.072265625;27378;27378.583984375;2575360;;;
2023-10-04 00:20;27381.7109375;27388.240234375;27367.765625;27367;27367.765625;15690752;;;
2023-10-04 00:25;27378.267578125;27391.634765625;27363.888671875;27363;27363.888671875;17101824;;;
2023-10-04 00:30;27368.001953125;27368.001953125;27250.81640625;27295;27295.15625;135470080;;;
2023-10-04 00:35;27292.533203125;27319.052734375;27268.71875;27319;27319.052734375;51137536;;;
2023-10-04 00:40;27300.47265625;27300.47265625;27248.10546875;27275;27275.103515625;69444608;;;
2023-10-04 00:45;27260.671875;27319.091796875;27260.671875;27319;27319.091796875;6511616;;;
2023-10-04 00:50;27338.978515625;27343.4609375;27303.689453125;27303;27303.689453125;0;;;
2023-10-04 00:55;27312.20703125;27333.93359375;27309.634765625;27309;27309.634765625;0;;;
2023-10-04 01:00;27309.525390625;27314.2421875;27282.279296875;27314;27314.2421875;0;;;
2023-10-04 01:05;27323.77734375;27340.345703125;27323.77734375;27335;27335.71875;0;42.0;;
2023-10-04 01:10;27332.162109375;27339.9375;27332.162109375;27334;27334.373046875;24904704;42.0;;
2023-10-04 01:15;27340.455078125;27343.291015625;27287.369140625;27287;27287.369140625;17870848;33.0;;
2023-10-04 01:20;27282.017578125;27282.017578125;27269.763671875;27275;27275.939453125;10374144;31.0;;
2023-10-04 01:25;27291.90234375;27329.697265625;27291.90234375;27329;27329.697265625;46270464;46.0;;
2023-10-04 01:30;27348.486328125;27348.486328125;27304.138671875;27304;27304.138671875;16194560;41.0;;
2023-10-04 01:35;27304.76953125;27304.76953125;27294.94140625;27299;27299.099609375;0;41.0;;
2023-10-04 01:40;27296.6953125;27314.013671875;27296.6953125;27312;27312.900390625;37888;44.0;;
2023-10-04 01:45;27316.02734375;27320.345703125;27310.109375;27318;27318.1953125;7600128;45.0;;
2023-10-04 01:50;27320.255859375;27335.140625;27320.255859375;27333;27333.8828125;3140608;49.0;;
2023-10-04 01:55;27338.6875;27341.37890625;27338.6875;27341;27341.107421875;0;51.0;;
2023-10-04 02:00;27337.767578125;27337.767578125;27314.158203125;27314;27314.158203125;0;45.0;;
2023-10-04 02:05;27317.47265625;27372.5703125;27317.47265625;27372;27372.5703125;1940480;57.0;-10.0;
2023-10-04 02:10;27418.0234375;27442.125;27418.0234375;27442;27442.125;63547392;66.0;0.0;
